Name
PG's Jamaican Restaurant
Calabash Bistro
Rehanah's Roti & Trinidadian
Axum Restaurant
Di Reggae Cafe
BeetBox Veg
Juke Fried Chicken
D ROTI SHAK
Abyssinia Restaurant
The Lion's Den Cafe
Harambe Ethiopian Restaurant
Riddim & Spice
Taps & Tacos
Addis Cafe
I&I Jamaican Restaurant
Gojo Cafe Ethiopian
Kula Kitchen
FARAFENA African Superfoods (Head Office)
Princess Cuisine
Alebi African Cuisine
Gojo Cafe Ethiopian
KRAVE SUBS & JUICE
Stanley Market
Kilimanjaro Snack House & Catering
Moltaqa Moroccan Restaurant
Fassil Restaurant
Safari Snack House
Simba's Grill
